Date,Region,stock_nappe,precip_tot,T2M,surf_agri,prelev_agri_pct,prelev_dom_pct,prelev_ind_pct,press_ress_int,prelev_total_bm3,indice_stress,croiss_pop,ress_capita,indice_aridite
2019-11-01,Loukkos,36.9604869,127.64,13.43,298612.306427397,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02641833220913,794.057505128499,5.44771660264618
2019-12-01,Loukkos,55.96911088,104.93,12.23,298858.34949589,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02604285584783,793.385824135118,4.72019793072425
2020-01-01,Loukkos,37.262302875,46.17,9.79,299112.594,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02565486360782,792.69175377529,2.33299646286003
2020-02-01,Loukkos,30.510932925,3.38,14.01,299118.080322404,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02406790209029,792.019095330299,0.140774677217826
2020-03-01,Loukkos,16.3957428,133.98,14.19,299123.212688525,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.0225833251868,791.38983420434,5.5386523356759
2020-04-01,Loukkos,30.926713925,78.29,15.83,299128.699010929,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02099636366927,790.71717575935,3.03097173828881
2020-05-01,Loukkos,41.34359455,56.62,20.96,299134.008355191,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01946059445876,790.066215973875,1.82881136950904
2020-06-01,Loukkos,45.42773894,34.37,22.31,299139.494677596,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01787363294123,789.393557528885,1.06375735066543
2020-07-01,Loukkos,39.02200985,0.64,30.07,299144.804021858,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01633786373072,788.74259774341,0.0159720489143998
2020-08-01,Loukkos,28.9252411,2.91,28.02,299150.290344262,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01475090221319,788.069939298419,0.0765386638611257
2020-09-01,Loukkos,24.49917365,15.1,25.63,299155.776666667,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01316394069567,787.397280853429,0.423800168397418
2020-10-01,Loukkos,17.4221506,45.17,18.92,299161.086010929,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01162817148516,786.746321067954,1.5618948824343
2020-11-01,Loukkos,14.60721723,63.47,16.38,299166.572333333,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.01004120996763,786.073662622963,2.40598938589841
2020-12-01,Loukkos,16.78125905,140.03,12.1,299171.881677596,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00850544075712,785.422702837489,6.33619909502262
2021-01-01,Loukkos,37.568011525,234.95,10.39,299177.368,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00691847923959,784.750044392498,11.5228052967141
2021-02-01,Loukkos,46.7466097,100.35,12.4,298712.68589863,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00706437012208,784.081167248607,4.47991071428571
2021-03-01,Loukkos,41.81858138,41.93,13.18,298292.973032877,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00719614253208,783.477020150899,1.80888697152718
2021-04-01,Loukkos,29.087463375,55.01,15.98,297828.290931507,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00734203341457,782.808143007008,2.11739799846035
2021-05-01,Loukkos,17.31181716,18.34,20.28,297378.598575342,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00748321813956,782.160842545178,0.605680317040951
2021-06-01,Loukkos,8.7702600875,3.74,23.17,296913.916473973,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00762910902206,781.491965401287,0.112752487187217
2021-07-01,Loukkos,13.664968725,0.59,28.1,296464.224117808,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00777029374705,780.844664939457,0.0154855643044619
2021-08-01,Loukkos,14.36763326,0.6,28.03,295999.542016438,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.00791618462954,780.175787795566,0.0157770181435709
